Name,Super,Abstract,Persistent,Final,Deprecated,Hidden,SqlTable,System,Ensemble
%BI.WebSecCorrection,,TRUE,,,,,,,
%BI.WebShortcut,,TRUE,,,,,,,
%BI.WebSqlWiz,,TRUE,,,,,,,
%BI.WebStoredProc,,TRUE,,,,,,,
%BI.WebSysFn,,TRUE,,,,,,,
%BI.WebTAClassDialogBox,,TRUE,,,,,,,
%BI.WebTCWF,,TRUE,,,,,,,
%BI.WebSchemaMain,,TRUE,,,,,,,
%BI.WebTableList,,TRUE,,,,,,,
%BI.WebTaskMgmt,,TRUE,,,,,,,
%BI.WebTrakSpeedMap,,TRUE,,,,,,,
%BI.WebTransformation,,TRUE,,,,,,,
%BI.WebTranslation,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.WebTranslationD,,TRUE,,,,,,,
%BI.WebUsersMtn,,TRUE,,,,,,,
%BI.WebUtil,,TRUE,,,,,,,
%BI.WebWorkFlow,,TRUE,,,,,,,
%BI.WebWorkFlowE,,TRUE,,,,,,,
%BI.WordExport,%CSP.Page,,,,,,,,
%BI.WebTmpPic,%Library.Persistent,,TRUE,,,,%BI.WebTmpPic,,
%BI.WordTemplate,%Library.Persistent,,TRUE,,,,%BI.WordTemplate,,
%BI.WorkFlow,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.WorkFlow,,
%BI.swDashBoardLibCode,,TRUE,,,,,,,
%BI.WorkFlowObj,%Library.SerialObject,,,,,,,,
%BI.swMapDB,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.swMapDB,,
%BI.swDashBoardLibTable,%Library.Persistent,,TRUE,,,,%BI.swDashBoardLibTable,,
%BI.swMapSetupCode,%Library.Persistent,,TRUE,,,,%BI.swMapSetupCode,,
%BI.swMapSetupTableXY,%Library.Persistent,,TRUE,,,,%BI.swMapSetupTableXY,,
%BI.swVennDB,%Library.Persistent,,TRUE,,,,%BI.swVennDB,,
%BI.swVennGroupDB,%Library.Persistent,,TRUE,,,,%BI.swVennGroupDB,,
%BI.webPreference,%CSP.Page~%BI.CSPsuper,,,,,,,,
%CPP.BinList,,,,,,,,,
%CPP.Binary,,,,,,,,,
%CPP.Double,,,,,,,,,
%CPP.Integer,,,,,,,,,
%CPP.LongLong,,,,,,,,,
%CPP.StrList,,,,,,,,,
%CPP.String,,,,,,,,,
%BI.swVennSetupCode,%Library.Persistent,,TRUE,,,,%BI.swVennSetupCode,,
%CPT.COS.Analysis.API,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.Builder,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.BasicBlock,%Library.RegisteredObject,,,,,TRUE,,,
